age,screen_time_hrs_day,sleep_duration_hrs,physical_activity_hrs_week,anxious_before_exams,academic_performance_change,gender_Female,gender_Male,gender_Other,edu_High School,edu_Postgraduate,edu_Undergraduate,sleep_quality_index,lifestyle_balance_score,agegrp_15-18,agegrp_19-22,agegrp_>22,anxEdu_Anxious_HS,anxEdu_Anxious_PG,anxEdu_Anxious_UG,anxEdu_Calm_HS,anxEdu_Calm_PG,anxEdu_Calm_UG,screen_x_sleep
23,2.8,7.2,8.1,0,2,False,True,False,False,True,False,0.5494280594574446,0.6561119932147891,False,False,True,False,False,False,False,True,False,20.16
24,11.9,7.1,7.4,0,2,False,True,False,False,True,False,0.06282680169859128,0.14103791069853827,False,False,True,False,False,False,False,True,False,84.49
22,5.6,6.0,3.8,1,2,False,False,True,False,True,False,0.17981818457189652,0.1539028407058624,False,True,False,False,True,False,False,False,False,33.599999999999994
23,5.4,8.1,5.9,1,1,False,True,False,False,True,False,0.28542103585064993,0.24780457228514036,False,False,True,False,True,False,False,False,False,43.74
19,6.7,5.2,9.5,0,2,False,True,False,False,False,True,0.10705204470266103,0.32158803478375236,False,True,False,False,False,False,False,False,True,34.84
16,7.8,6.3,1.6,1,0,False,True,False,True,False,False,0.11483182307382647,0.04652393799521281,True,False,False,True,False,False,False,False,False,49.14
26,6.1,5.3,9.3,1,1,True,False,False,False,True,False,0.12990208471613554,0.3457834366385106,False,False,True,False,True,False,False,False,False,32.33
20,2.5,6.6,3.7,0,1,False,False,True,False,False,True,0.5663244851568059,0.3356701214020546,False,True,False,False,False,False,False,False,True,16.5
22,4.8,6.7,1.6,0,2,False,True,False,False,True,False,0.2597536677788146,0.07560139318441768,False,True,False,False,False,False,False,True,False,32.16
20,6.2,6.4,7.8,1,0,False,False,True,False,False,True,0.170166315240041,0.2853343038286873,False,True,False,False,False,True,False,False,False,39.68000000000001
19,6.3,4.2,1.5,0,1,True,False,False,True,False,False,0.08008215931482787,0.054000997810347263,False,True,False,False,False,False,True,False,False,26.46
18,5.8,6.8,4.4,0,1,False,True,False,True,False,False,0.20470161740051357,0.17205834928961988,True,False,False,False,False,False,True,False,False,39.44
15,8.2,6.0,9.4,1,1,True,False,False,True,False,False,0.09610861560950099,0.25999505755654956,True,False,False,True,False,False,False,False,False,49.2
24,5.1,5.4,5.7,1,1,False,True,False,False,True,False,0.17671221371832163,0.25348702731303496,False,False,True,False,True,False,False,False,False,27.54
16,9.4,8.3,5.2,1,0,False,True,False,True,False,False,0.133382902896208,0.12546615467183925,True,False,False,True,False,False,False,False,False,78.02000000000001
22,8.9,7.8,5.3,0,0,False,True,False,False,True,False,0.13176296768179993,0.13506317606726742,False,True,False,False,False,False,False,True,False,69.42
21,7.9,6.8,9.6,0,1,True,False,False,False,False,True,0.1279079320595586,0.2756101647733447,False,True,False,False,False,False,False,False,True,53.72
17,10.7,5.2,4.8,1,1,False,True,False,True,False,False,0.03556009084623686,0.10174394270241603,True,False,False,True,False,False,False,False,False,55.64
25,7.5,6.0,3.8,0,2,True,False,False,False,True,False,0.11293638613140278,0.11491412625887254,False,False,True,False,False,False,False,True,False,45.0
25,5.4,5.1,7.0,1,0,False,True,False,False,True,False,0.14852844859623804,0.29400542474508173,False,False,True,False,True,False,False,False,False,27.54
15,6.6,6.9,2.2,1,1,True,False,False,True,False,False,0.17341801858885575,0.07560139747995073,True,False,False,True,False,False,False,False,False,45.54
22,5.1,6.7,1.1,1,2,False,True,False,False,True,False,0.2395217530684992,0.04891854913058568,False,True,False,False,True,False,False,False,False,34.17
23,3.2,7.6,5.6,0,2,True,False,False,False,True,False,0.5010267862697293,0.39690727287369376,False,False,True,False,False,False,False,True,False,24.32
17,8.1,4.1,8.9,0,0,True,False,False,True,False,False,0.04053541523901326,0.24920461350025785,True,False,False,False,False,False,True,False,False,33.209999999999994
23,4.1,8.1,1.9,0,1,True,False,False,False,True,False,0.40261441733104125,0.10510437215206414,False,False,True,False,False,False,False,True,False,33.209999999999994
25,4.5,8.9,1.9,0,1,False,True,False,False,True,False,0.40314864283990703,0.09576176337023816,False,False,True,False,False,False,False,True,False,40.05
18,6.0,6.0,8.6,0,1,True,False,False,True,False,False,0.16221771188476475,0.32508600423824335,True,False,False,False,False,False,True,False,False,36.0
20,8.3,8.5,1.2,0,1,True,False,False,False,False,True,0.16815523345779199,0.032790968599274675,False,True,False,False,False,False,False,False,True,70.55000000000001
21,9.3,7.3,3.0,1,1,False,True,False,False,False,True,0.10922704340484266,0.07316264594083069,False,True,False,False,False,True,False,False,False,67.89
15,4.3,8.8,9.7,1,1,True,False,False,True,False,False,0.42008511523755393,0.5116280205516233,True,False,False,True,False,False,False,False,False,37.84
22,10.1,7.0,5.9,1,0,True,False,False,False,True,False,0.08658795601073993,0.13248958471829167,False,True,False,False,True,False,False,False,False,70.7
15,4.8,5.7,1.5,0,0,True,False,False,True,False,False,0.20841894874671357,0.07087630611039157,True,False,False,False,False,False,True,False,False,27.36
23,11.6,4.8,4.8,0,0,False,True,False,False,True,False,0.01777243569001999,0.09385001679394632,False,False,True,False,False,False,False,True,False,55.68
21,4.4,6.3,2.6,0,0,False,True,False,False,False,True,0.2686205671114531,0.1340206490159256,False,True,False,False,False,False,False,False,True,27.72
15,7.6,5.4,7.7,1,0,False,True,False,True,False,False,0.09088947387441115,0.22978846271095923,True,False,False,True,False,False,False,False,False,41.04
19,9.9,6.3,3.8,0,0,False,False,True,False,False,True,0.07261529977234538,0.0870561590706577,False,True,False,False,False,False,False,False,True,62.37
23,5.6,6.3,3.6,0,0,False,False,True,False,True,False,0.1930185412873045,0.14580269119502756,False,False,True,False,False,False,False,True,False,35.279999999999994
23,3.8,6.8,2.0,1,2,False,True,False,False,True,False,0.3567492443020726,0.11937061427306139,False,False,True,False,True,False,False,False,False,25.84
21,5.1,4.3,5.5,1,1,True,False,False,False,False,True,0.12356568042201752,0.24459274565292846,False,True,False,False,False,True,False,False,False,21.93
21,7.0,7.6,0.4,0,1,True,False,False,False,True,False,0.18333828925054785,0.012960239680201402,False,True,False,False,False,False,False,True,False,53.2
21,8.7,4.6,0.1,1,2,True,False,False,False,True,False,0.04609503900908371,0.0026069448360307337,False,True,False,False,True,False,False,False,False,40.02
19,7.3,5.9,3.8,1,2,True,False,False,False,False,True,0.1149616457039224,0.1180624580538647,False,True,False,False,False,True,False,False,False,43.07
17,10.0,8.4,5.8,1,1,False,True,False,True,False,False,0.12279265982417212,0.13154643839174796,True,False,False,True,False,False,False,False,False,84.0
20,11.4,8.8,7.4,1,0,True,False,False,False,False,True,0.10601971635608942,0.14722378343216952,False,True,False,False,False,True,False,False,False,100.32
15,7.4,7.1,3.1,0,2,False,True,False,True,False,False,0.1522282600844537,0.09501256865948851,True,False,False,False,False,False,True,False,False,52.54
18,8.3,8.4,9.5,1,1,False,True,False,True,False,False,0.16518647836139141,0.25959516807759125,True,False,False,True,False,False,False,False,False,69.72000000000001
15,5.0,6.4,5.5,1,0,False,True,False,True,False,False,0.2312115666253035,0.24948459958761623,True,False,False,True,False,False,False,False,False,32.0
20,5.8,7.8,7.6,0,1,True,False,False,False,False,True,0.24718552433239227,0.2971916942275252,False,True,False,False,False,False,False,False,True,45.24
22,7.5,5.3,2.7,0,2,False,True,False,False,False,True,0.0899384302801752,0.08164951076288313,False,True,False,False,False,False,False,False,True,39.75
23,11.5,6.9,9.9,0,0,False,True,False,False,True,False,0.0636550590210194,0.19524883914017271,False,False,True,False,False,False,False,True,False,79.35000000000001
15,8.4,5.8,0.6,1,2,False,True,False,True,False,False,0.08594899138958559,0.01620029998597311,True,False,False,True,False,False,False,False,False,48.72
15,7.8,8.8,8.3,0,1,True,False,False,True,False,False,0.19380832022068706,0.24134292835016652,True,False,False,False,False,False,True,False,False,68.64
21,7.9,4.1,6.9,0,1,False,True,False,False,True,False,0.043692993699453286,0.19809480593084153,False,True,False,False,False,False,False,True,False,32.39
25,9.1,4.1,3.9,1,2,False,True,False,False,True,False,0.026829442572056883,0.09720180080596505,False,False,True,False,True,False,False,False,False,37.31
22,5.5,4.4,7.5,0,0,False,True,False,False,True,False,0.1129363765738125,0.3092784348640897,False,True,False,False,False,False,False,True,False,24.200000000000003
25,4.5,4.6,6.9,0,0,True,False,False,False,True,False,0.16769340148288148,0.34776640381823337,False,False,True,False,False,False,False,True,False,20.7
20,5.5,6.7,6.8,1,1,False,True,False,False,False,True,0.2159791607813515,0.28041244761010803,False,True,False,False,False,True,False,False,False,36.85
20,2.4,6.0,9.0,0,1,True,False,False,False,False,True,0.5318275503122056,0.8505154961340073,False,True,False,False,False,False,False,False,True,14.4
19,4.3,7.5,9.8,1,1,False,True,False,False,False,True,0.3455900829118765,0.5169025362274132,False,True,False,False,False,True,False,False,False,32.25
24,5.8,6.8,2.9,1,1,False,True,False,False,True,False,0.20470161740051357,0.11340209384997674,False,False,True,False,True,False,False,False,False,39.44
17,6.9,8.0,1.0,1,1,True,False,False,True,False,False,0.20149993951323658,0.032870173033905895,True,False,False,True,False,False,False,False,False,55.2
15,10.3,5.9,6.6,0,1,True,False,False,True,False,False,0.05695662353736594,0.14533084966760845,True,False,False,False,False,False,True,False,False,60.77000000000001
24,10.7,4.3,5.0,0,2,True,False,False,False,True,False,0.014834295360804328,0.10598327364835004,False,False,True,False,False,False,False,True,False,46.01
21,2.2,5.5,2.4,0,1,False,True,False,False,True,False,0.531827526978258,0.24742268041237117,False,True,False,False,False,False,False,True,False,12.1
16,3.5,6.0,9.8,0,1,False,True,False,True,False,False,0.3382224198984388,0.6350516536082169,True,False,False,False,False,False,True,False,False,21.0
15,5.5,8.0,6.9,1,1,False,True,False,True,False,False,0.2742207344638736,0.2845361600749626,True,False,False,True,False,False,False,False,False,44.0
16,5.2,7.6,4.4,1,1,True,False,False,True,False,False,0.2759438541679889,0.19191123192825243,True,False,False,True,False,False,False,False,False,39.52
24,3.8,4.0,1.8,1,2,False,True,False,False,True,False,0.17518645852158182,0.10743355284575526,False,False,True,False,True,False,False,False,False,15.2
21,11.1,8.5,2.1,0,0,False,True,False,False,True,False,0.10450085063896597,0.04290890390808612,False,True,False,False,False,False,False,True,False,94.35
16,11.7,7.1,3.7,0,1,False,True,False,True,False,False,0.06533989125191444,0.07172440747443166,True,False,False,False,False,False,True,False,False,83.07
18,11.7,8.6,6.8,0,1,False,True,False,True,False,False,0.09693049146068416,0.13181782995300956,True,False,False,False,False,False,True,False,False,100.62
18,9.9,8.0,7.8,1,2,False,False,True,True,False,False,0.11492755757625536,0.17869422125029738,True,False,False,True,False,False,False,False,False,79.2
17,7.6,8.0,3.2,0,1,False,True,False,True,False,False,0.17518649264992053,0.09549650398377527,True,False,False,False,False,False,True,False,False,60.8
17,9.6,5.3,0.9,0,0,False,True,False,True,False,False,0.051848069869325414,0.0212628940480018,True,False,False,False,False,False,True,False,False,50.88
26,8.7,7.0,5.3,0,2,False,True,False,False,True,False,0.11406929400665547,0.13816807630962985,False,False,True,False,False,False,False,True,False,60.89999999999999
25,4.0,8.9,4.2,1,2,True,False,False,False,True,False,0.46406582668263235,0.23814437860823529,False,False,True,False,True,False,False,False,False,35.6
22,6.5,5.1,2.4,0,1,True,False,False,False,True,False,0.1091455103219593,0.08374308624412473,False,True,False,False,False,False,False,True,False,33.15
20,4.9,5.5,4.7,0,1,False,True,False,False,False,True,0.1923899458167022,0.2175468670270438,False,True,False,False,False,False,False,False,True,26.950000000000003
24,8.4,4.2,1.4,1,1,True,False,False,False,True,False,0.03901438694107587,0.03780069996727063,False,False,True,False,True,False,False,False,False,35.28
15,4.3,7.5,0.3,1,1,False,True,False,True,False,False,0.3455900829118765,0.015823547027369787,True,False,False,True,False,False,False,False,False,32.25
22,6.0,6.4,0.6,1,1,False,True,False,False,False,True,0.17864482265949988,0.022680418900342555,False,True,False,False,False,True,False,False,False,38.400000000000006
19,5.6,7.7,0.4,1,2,False,False,True,False,False,True,0.25462020595920815,0.016200299021669716,False,True,False,False,False,True,False,False,False,43.12
18,11.9,7.0,9.6,1,1,True,False,False,True,False,False,0.060756157312184866,0.18296810036567124,True,False,False,True,False,False,False,False,False,83.3
20,10.6,7.3,8.5,0,2,True,False,False,False,False,True,0.08550621629516256,0.18187129678903355,False,True,False,False,False,False,False,False,True,77.38
17,10.1,8.2,6.4,1,1,False,True,False,True,False,False,0.1158639969959403,0.14371751562662147,True,False,False,True,False,False,False,False,False,82.82
18,5.1,8.4,2.8,1,1,True,False,False,True,False,False,0.32165730452642377,0.12451994324149085,True,False,False,True,False,False,False,False,False,42.84
20,4.7,5.7,9.4,1,0,True,False,False,False,False,True,0.2146446473898197,0.4536083570958312,False,True,False,False,False,True,False,False,False,26.790000000000003
