age,screen_time_hrs_day,sleep_duration_hrs,physical_activity_hrs_week,stress_level,anxious_before_exams,academic_performance_change,gender_Female,gender_Male,gender_Other,edu_High School,edu_Postgraduate,edu_Undergraduate,sleep_quality_index,lifestyle_balance_score,agegrp_15-18,agegrp_19-22,agegrp_>22,anxEdu_Anxious_HS,anxEdu_Anxious_PG,anxEdu_Anxious_UG,anxEdu_Calm_HS,anxEdu_Calm_PG,anxEdu_Calm_UG,screen_x_sleep
15,7.1,8.9,9.3,1,0,1,False,True,False,True,False,False,1.2535209502083169,1.3098589704423986,True,False,False,False,False,False,True,False,False,63.19
25,3.3,5.0,0.2,1,0,1,True,False,False,False,True,False,1.5151510560148316,0.060606042240593266,False,False,True,False,False,False,False,True,False,16.5
20,9.5,5.4,6.2,1,0,1,False,True,False,False,False,True,0.5684209927977903,0.6526315102493148,False,True,False,False,False,False,False,False,True,51.300000000000004
20,10.8,5.6,5.5,2,1,1,False,True,False,False,False,True,0.518518470507549,0.5092592121056285,False,True,False,False,False,True,False,False,False,60.48
17,2.8,5.4,3.1,1,1,1,True,False,False,True,False,False,1.9285707397961644,1.107142461734835,True,False,False,True,False,False,False,False,False,15.12
23,8.6,8.4,0.1,0,0,2,False,True,False,False,True,False,0.9767440724716197,0.011627905624662139,False,False,True,False,False,False,False,True,False,72.24
22,3.6,6.6,0.5,1,1,2,False,True,False,False,True,False,1.8333328240742153,0.1388888503086527,False,True,False,False,True,False,False,False,False,23.759999999999998
25,7.0,4.7,4.5,1,0,1,False,True,False,False,True,False,0.6714284755102178,0.6428570510204212,False,False,True,False,False,False,False,True,False,32.9
20,4.8,5.0,7.9,1,0,2,False,True,False,False,False,True,1.041666449652823,1.6458329904514604,False,True,False,False,False,False,False,False,True,24.0
16,8.9,8.4,7.8,0,1,2,True,False,False,True,False,False,0.9438201186718969,0.8764043959096185,True,False,False,True,False,False,False,False,False,74.76
15,8.0,7.3,0.8,0,0,1,True,False,False,True,False,False,0.9124998859375143,0.09999998750000158,True,False,False,False,False,False,True,False,False,58.4
